Identifier,log_likelihoods EM,log_likelihoods PPEM,Iterations EM,Iterations PPEM,ticks EM,ticks PPEM
n200_k2_c2,-685.275,-685.275,52.0,52.0,0.703,69.812
n200_k2_c6,-685.275,-685.275,52.0,52.0,0.562,195.448
n200_k2_c10,-685.275,-685.275,52.0,52.0,0.833,325.358
n200_k3_c2,-839.393,-839.393,134.0,134.0,1.504,184.353
n200_k3_c6,-839.393,-839.393,134.0,134.0,2.438,518.811
n200_k3_c10,-839.393,-839.393,134.0,134.0,2.651,849.381
n200_k4_c2,-821.071,-821.071,92.0,92.0,1.54,132.292
n200_k4_c6,-821.071,-821.071,92.0,92.0,1.717,369.971
n200_k4_c10,-821.071,-821.071,92.0,92.0,2.102,605.782
n200_k5_c2,-912.215,-912.215,180.0,180.0,2.477,269.087
n200_k5_c6,-912.215,-912.215,180.0,180.0,3.442,764.005
n200_k5_c10,-912.215,-912.215,180.0,180.0,5.038,1258.293
n200_k6_c2,-962.493,-962.493,146.0,146.0,2.877,225.755
n200_k6_c6,-962.493,-962.493,146.0,146.0,3.505,631.135
n200_k6_c10,-962.493,-962.493,146.0,146.0,6.042,1030.984
n1100_k2_c2,-3853.107,-3853.107,184.0,184.0,6.393,248.166
n1100_k2_c6,-3853.107,-3853.107,184.0,184.0,7.883,684.927
n1100_k2_c10,-3853.107,-3853.107,184.0,184.0,7.11,1118.505
n1100_k3_c2,-4285.445,-4285.445,81.0,81.0,4.714,114.819
n1100_k3_c6,-4285.445,-4285.445,81.0,81.0,4.411,316.279
n1100_k3_c10,-4285.445,-4285.445,81.0,81.0,5.046,514.523
n1100_k4_c2,-4606.801,-4606.801,62.0,62.0,4.442,91.017
n1100_k4_c6,-4606.801,-4606.801,62.0,62.0,4.809,251.041
n1100_k4_c10,-4606.801,-4606.801,62.0,62.0,4.336,411.394
n1100_k5_c2,-5092.974,-5092.974,316.0,316.0,23.691,488.138
n1100_k5_c6,-5092.974,-5092.974,316.0,316.0,25.008,1334.075
n1100_k5_c10,-5092.974,-5092.974,316.0,315.0,29.449,2180.295
n1100_k6_c2,-5449.522,-5449.522,500.0,500.0,43.064,799.13
n1100_k6_c6,-5449.522,-5449.522,500.0,500.0,43.549,2185.977
n1100_k6_c10,-5449.522,-5449.522,500.0,500.0,43.999,3571.023
n2000_k2_c2,-7046.019,-7046.019,188.0,188.0,8.735,257.923
n2000_k2_c6,-7046.019,-7046.019,188.0,188.0,9.057,706.403
n2000_k2_c10,-7046.019,-7046.019,188.0,188.0,9.534,1155.559
n2000_k3_c2,-7844.166,-7844.166,142.0,142.0,9.629,204.749
n2000_k3_c6,-7844.166,-7844.166,142.0,142.0,10.038,555.569
n2000_k3_c10,-7844.166,-7844.166,142.0,142.0,10.528,908.755
n2000_k4_c2,-8427.783,-8427.783,98.0,98.0,9.247,148.813
n2000_k4_c6,-8427.783,-8427.783,98.0,98.0,9.162,403.987
n2000_k4_c10,-8427.783,-8427.783,98.0,98.0,9.833,654.837
n2000_k5_c2,-9321.779,-9321.779,500.0,500.0,59.89,792.812
n2000_k5_c6,-9321.779,-9321.779,500.0,500.0,57.836,2142.922
n2000_k5_c10,-9321.779,-9321.779,500.0,500.0,59.684,3483.985
n2000_k6_c2,-9590.976,-9590.976,500.0,500.0,64.804,860.832
n2000_k6_c6,-9590.976,-9590.976,500.0,500.0,68.354,2188.58
n2000_k6_c10,-9590.976,-9590.976,500.0,500.0,71.741,3557.217
n2900_k2_c2,-10200.346,-10200.346,316.0,316.0,20.293,394.18
n2900_k2_c6,-10200.346,-10200.346,316.0,316.0,20.798,1173.492
n2900_k2_c10,-10200.346,-10200.346,316.0,316.0,21.564,1912.396
n2900_k3_c2,-11361.236,-11361.236,183.0,183.0,17.542,265.227
n2900_k3_c6,-11361.236,-11361.236,183.0,183.0,17.974,712.645
n2900_k3_c10,-11361.236,-11361.236,183.0,183.0,18.74,1155.797
n2900_k4_c2,-12202.963,-12202.963,85.0,85.0,11.474,128.46
n2900_k4_c6,-12202.963,-12202.963,85.0,85.0,11.346,346.489
n2900_k4_c10,-12202.963,-12202.963,85.0,85.0,11.708,560.504
n2900_k5_c2,-12849.743,-12849.743,360.0,360.0,62.264,572.1
n2900_k5_c6,-12849.743,-12849.743,360.0,360.0,57.882,1507.571
n2900_k5_c10,-12849.743,-12849.743,360.0,360.0,60.262,2739.166
n2900_k6_c2,-13897.603,-13897.603,500.0,500.0,98.11,718.095
n2900_k6_c6,-13897.603,-13897.603,500.0,500.0,96.091,2003.693
n2900_k6_c10,-13897.603,-13897.603,500.0,500.0,99.379,3052.369
n3800_k2_c2,-13452.228,-13452.228,282.0,282.0,23.673,321.929
n3800_k2_c6,-13452.228,-13452.228,282.0,282.0,24.758,855.237
n3800_k2_c10,-13452.228,-13452.228,282.0,282.0,24.809,1386.65
n3800_k3_c2,-14983.354,-14983.354,197.0,197.0,24.547,232.821
n3800_k3_c6,-14983.354,-14983.354,197.0,197.0,24.883,622.494
n3800_k3_c10,-14983.354,-14983.354,197.0,197.0,25.746,1008.962
n3800_k4_c2,-16081.152,-16081.152,203.0,203.0,33.368,254.223
n3800_k4_c6,-16081.152,-16081.152,203.0,203.0,33.898,669.794
n3800_k4_c10,-16081.152,-16081.152,203.0,203.0,34.862,1084.023
n3800_k5_c2,-16929.679,-16929.679,291.0,291.0,58.958,383.993
n3800_k5_c6,-16929.679,-16929.679,291.0,291.0,67.247,1004.027
n3800_k5_c10,-16929.679,-16929.679,291.0,291.0,62.389,1626.837
n4700_k2_c2,-16641.217,-16641.217,180.0,180.0,18.835,203.34
n4700_k2_c6,-16641.217,-16641.217,180.0,180.0,18.853,545.521
n4700_k2_c10,-16641.217,-16641.217,180.0,180.0,19.448,884.329
n4700_k3_c2,-18535.617,-18535.617,124.0,124.0,21.334,149.073
n4700_k3_c6,-18535.617,-18535.617,124.0,124.0,23.452,395.199
n4700_k3_c10,-18535.617,-18535.617,124.0,124.0,20.861,638.994
n4700_k4_c2,-19893.635,-19893.635,92.0,92.0,18.184,118.213
n4700_k4_c6,-19893.635,-19893.635,92.0,92.0,18.396,306.882
n4700_k4_c10,-19893.635,-19893.635,92.0,92.0,19.022,493.189
n4700_k5_c2,-21990.205,-21990.205,500.0,500.0,120.72,683.54
n4700_k5_c6,-21990.205,-21990.205,500.0,500.0,134.129,1747.585
n4700_k5_c10,-21990.205,-21990.205,500.0,500.0,131.067,2818.247
n5600_k2_c2,-19766.288,-19766.288,195.0,195.0,22.787,222.804
n5600_k2_c6,-19766.288,-19766.288,195.0,195.0,23.131,593.78
n5600_k2_c10,-19766.288,-19766.288,195.0,195.0,23.585,961.726
n5600_k3_c2,-22021.374,-22021.374,181.0,181.0,31.216,222.385
n5600_k3_c6,-22021.374,-22021.374,181.0,181.0,31.824,580.194
n5600_k3_c10,-22021.374,-22021.374,181.0,181.0,32.14,938.742
n5600_k4_c2,-23635.158,-23635.158,151.0,151.0,34.826,198.462
n5600_k4_c6,-23635.158,-23635.158,151.0,151.0,35.31,507.595
n5600_k4_c10,-23635.158,-23635.158,151.0,151.0,36.215,817.973
n6500_k2_c2,-22937.709,-22937.709,356.0,356.0,54.907,412.297
n6500_k2_c6,-22937.709,-22937.709,356.0,356.0,55.07,1082.207
n6500_k2_c10,-22937.709,-22937.709,356.0,356.0,56.285,1755.912
n6500_k3_c2,-25559.145,-25559.145,204.0,204.0,46.58,254.718
n6500_k3_c6,-25559.145,-25559.145,204.0,204.0,42.592,656.683
n6500_k3_c10,-25559.145,-25559.145,204.0,204.0,42.982,1057.657
n7400_k2_c2,-26162.33,-26162.33,349.0,349.0,55.401,414.751
n7400_k2_c6,-26162.33,-26162.33,349.0,349.0,55.578,1081.33
n7400_k2_c10,-26162.33,-26162.33,349.0,349.0,56.433,1747.054
n7400_k3_c2,-29152.201,-29152.201,153.0,153.0,36.154,197.151
n7400_k3_c6,-29152.201,-29152.201,153.0,153.0,36.235,501.202
n7400_k3_c10,-29152.201,-29152.201,153.0,153.0,37.512,806.996
n8300_k2_c2,-29361.698,-29361.698,344.0,344.0,60.25,415.72
n8300_k2_c6,-29361.698,-29361.698,344.0,344.0,59.846,1058.735
n8300_k2_c10,-29361.698,-29361.698,344.0,344.0,61.546,1712.621
n8300_k3_c2,-32716.3,-32716.3,159.0,159.0,40.898,206.822
n8300_k3_c6,-32716.3,-32716.3,159.0,159.0,41.889,520.217
n8300_k3_c10,-32716.3,-32716.3,159.0,159.0,42.161,831.673
n9200_k2_c2,-32523.923,-32523.923,422.0,422.0,87.873,508.324
n9200_k2_c6,-32523.923,-32523.923,422.0,422.0,87.733,1310.76
n9200_k2_c10,-32523.923,-32523.923,422.0,422.0,89.209,2107.598
n9200_k3_c2,-36243.374,-36243.374,417.0,417.0,131.225,551.847
n9200_k3_c6,-36243.374,-36243.374,417.0,417.0,133.811,1372.212
n9200_k3_c10,-36243.374,-36243.374,417.0,417.0,135.927,2197.736
